info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: fetching blog with id 343
info: Blog app started
info: fetching blog with id 343
error: An error occurred while fetching the blog
info: Blog app started
info: Blog app started
info: Blog app started
info: fetching blog with id 6521bb8fe900326db2742f0a
info: Blog app started
2023-10-11T18:17:42.292Z [info]: connecting to DB
2023-10-11T18:17:51.505Z [info]: connecting to DB
2023-10-11T18:18:01.913Z [info]: connecting to DB
2023-10-11T18:18:14.043Z [info]: connecting to DB
2023-10-11T18:18:20.754Z [info]: connecting to DB
2023-10-11T18:18:29.805Z [info]: connecting to DB
2023-10-11T18:18:38.407Z [info]: connecting to DB
2023-10-11T18:18:47.520Z [info]: connecting to DB
2023-10-11T18:18:55.300Z [info]: connecting to DB
2023-10-11T18:19:04.720Z [info]: connecting to DB
2023-10-11T18:19:09.721Z [info]: connecting to DB
2023-10-11T18:19:16.698Z [info]: connecting to DB
2023-10-11T18:19:24.694Z [info]: connecting to DB
2023-10-11T18:19:31.145Z [info]: connecting to DB
2023-10-11T18:19:46.601Z [info]: connecting to DB
2023-10-11T18:19:52.042Z [info]: connecting to DB
2023-10-11T18:19:57.759Z [info]: connecting to DB
2023-10-11T18:20:04.730Z [info]: connecting to DB
2023-10-11T18:20:09.238Z [info]: connecting to DB
2023-10-11T18:20:22.115Z [info]: connecting to DB
2023-10-11T18:20:32.272Z [info]: connecting to DB
2023-10-11T18:20:42.007Z [info]: connecting to DB
2023-10-11T18:22:32.277Z [info]: connecting to DB
2023-10-11T18:22:42.631Z [info]: connecting to DB
2023-10-11T18:23:50.006Z [info]: connecting to DB
2023-10-11T18:25:52.744Z [info]: connecting to DB
2023-10-11T18:26:17.466Z [info]: connecting to DB
2023-10-11T18:26:30.071Z [info]: connecting to DB
2023-10-11T18:26:45.360Z [info]: connecting to DB
2023-10-11T18:27:40.519Z [info]: connecting to DB
2023-10-11T18:27:59.055Z [info]: connecting to DB
2023-10-11T18:28:04.174Z [info]: connecting to DB
2023-10-11T18:28:44.274Z [info]: connecting to DB
2023-10-11T18:29:17.077Z [info]: connecting to DB
2023-10-11T18:29:31.518Z [info]: connecting to DB
2023-10-11T18:29:37.451Z [info]: connecting to DB
2023-10-11T18:29:43.061Z [info]: connecting to DB
2023-10-11T18:29:51.899Z [info]: connecting to DB
2023-10-11T18:30:43.205Z [info]: connecting to DB
2023-10-11T18:33:01.947Z [info]: connecting to DB
2023-10-11T18:33:07.901Z [info]: connecting to DB
2023-10-11T18:35:16.599Z [info]: connecting to DB
2023-10-11T18:36:25.073Z [info]: connecting to DB
2023-10-11T18:37:16.623Z [info]: connecting to DB
2023-10-11T18:37:33.631Z [info]: connecting to DB
2023-10-11T18:38:05.678Z [info]: connecting to DB
2023-10-11T18:38:09.356Z [info]: connecting to DB
2023-10-11T18:38:17.144Z [info]: connecting to DB
2023-10-11T18:38:26.368Z [info]: connecting to DB
2023-10-11T18:38:35.987Z [info]: connecting to DB
2023-10-11T18:38:42.229Z [info]: connecting to DB
2023-10-11T18:38:47.088Z [info]: connecting to DB
2023-10-11T18:38:52.055Z [info]: connecting to DB
2023-10-11T18:38:56.057Z [info]: connecting to DB
2023-10-11T18:39:02.001Z [info]: connecting to DB
2023-10-11T18:44:42.801Z [info]: connecting to DB
2023-10-11T18:44:47.314Z [info]: connecting to DB
2023-10-11T18:45:17.611Z [info]: connecting to DB
2023-10-11T18:46:05.854Z [info]: connecting to DB
2023-10-11T18:47:19.217Z [info]: connecting to DB
